Record_ID,City,Month,Temperature_C,Humidity_pct,Pressure_hPa,Wind_Speed_kmph,Cloud_Cover_pct,Visibility_km,Rainfall_mm,Weather_Condition,Rain_Tomorrow
1,Mumbai,1,33.2,56,998.9,22.4,86,11.5,0,Cloudy,1
2,Mumbai,4,15.9,28,1012.4,21.8,89,8.9,1.1,Cloudy,1
3,Ahmedabad,5,35.5,25,1020.4,5.6,54,6.1,7.5,Partly Cloudy,0
4,Mumbai,7,11.3,69,1014.1,24.4,93,7.7,13.4,Rainy,0
5,Lucknow,2,26.8,71,1013.1,21.4,5,10.4,2.6,Sunny,0
6,Mumbai,7,17.5,71,996.5,11.3,85,5.1,0,Cloudy,0
7,Mumbai,10,29.6,93,1019.2,5.7,48,5.1,7.3,Partly Cloudy,1
8,Hyderabad,1,15.8,29,1022.2,12.6,8,4.3,0,Sunny,0
9,Hyderabad,4,30.3,75,1025.4,19.6,18,5.1,0.6,Sunny,1
10,Ahmedabad,7,38.5,76,1004.5,29.9,17,8.4,6.9,Sunny,1
11,Delhi,2,13.2,45,1021.7,13.2,8,6.7,0,Sunny,0
12,Pune,1,31.1,39,1017.3,16.6,34,11.9,0,Sunny,0
13,Kolkata,7,13.4,25,1028.2,26.4,33,14.6,0.9,Sunny,1
14,Kolkata,11,25.3,50,996.1,23.1,69,14.4,0,Partly Cloudy,0
15,Delhi,10,19.0,27,994.5,11.5,39,4.7,0.9,Partly Cloudy,1
16,Jaipur,2,41.3,93,1020.6,4.7,60,14.3,9.5,Partly Cloudy,1
17,Pune,10,22.4,52,1027.2,22.9,88,4.2,0,Cloudy,0
18,Jaipur,9,23.4,56,999.0,10.8,75,9.0,18.1,Rainy,1
19,Delhi,4,10.3,29,1024.4,3.1,30,5.3,0,Sunny,0
20,Ahmedabad,10,24.1,85,1022.3,6.5,12,10.4,1.1,Sunny,1
21,Lucknow,8,37.4,31,1016.9,29.5,12,2.3,0,Sunny,1
22,Chennai,4,26.2,42,1006.9,9.1,31,13.3,0,Sunny,1
23,Pune,2,9.7,94,1023.4,29.1,96,13.0,5.9,Cloudy,1
24,Lucknow,1,13.6,25,1029.4,8.7,100,12.1,8.0,Cloudy,1
25,Pune,11,32.4,44,997.6,7.3,7,9.3,0,Sunny,1
26,Ahmedabad,8,25.1,92,996.3,28.9,10,13.0,0,Sunny,1
27,Mumbai,11,37.3,76,994.8,26.8,31,9.3,2.5,Sunny,0
28,Ahmedabad,9,18.8,58,998.2,21.8,30,5.1,1.0,Sunny,1
29,Kolkata,8,18.8,34,990.4,19.0,72,14.9,6.1,Cloudy,1
30,Hyderabad,2,37.9,72,1001.4,13.7,69,11.0,4.5,Partly Cloudy,0
31,Pune,1,30.7,95,1002.0,20.2,17,5.1,6.8,Sunny,1
32,Kolkata,10,15.2,68,998.1,19.4,33,8.3,0,Sunny,1
33,Delhi,2,29.6,60,991.8,10.7,16,10.1,0,Sunny,0
34,Lucknow,9,8.3,34,1027.8,21.0,19,8.9,8.7,Sunny,0
35,Ahmedabad,9,13.0,41,991.7,11.6,5,13.6,1.4,Sunny,1
36,Pune,7,41.1,44,1027.0,7.9,20,14.7,4.2,Sunny,0
37,Lucknow,1,14.1,67,1021.3,12.9,85,13.2,4.5,Cloudy,0
38,Mumbai,7,37.7,85,998.9,24.7,58,6.2,0,Partly Cloudy,0
39,Chennai,4,8.8,49,1005.9,9.1,8,14.6,0,Sunny,0
40,Pune,6,39.9,39,1025.1,8.6,74,14.5,10.0,Cloudy,1
41,Mumbai,10,22.8,65,1007.5,29.5,14,6.7,0,Sunny,0
42,Delhi,9,39.5,93,1017.5,28.3,94,10.6,1.2,Cloudy,1
43,Mumbai,11,39.3,65,1016.5,4.6,38,8.3,0,Partly Cloudy,0
44,Pune,3,14.5,73,1017.1,27.2,78,9.2,0,Cloudy,1
45,Delhi,5,17.8,80,1021.4,18.6,41,7.8,0,Partly Cloudy,0
46,Bengaluru,11,10.9,90,1016.6,19.0,11,12.5,1.7,Sunny,0
47,Kolkata,4,35.4,43,991.0,8.1,60,9.8,3.6,Partly Cloudy,0
48,Ahmedabad,4,32.4,74,1009.8,8.1,83,10.8,0,Cloudy,0
49,Mumbai,7,15.4,91,1008.6,17.2,15,7.7,2.9,Sunny,0
50,Ahmedabad,6,40.3,81,1014.5,21.9,64,7.3,0,Partly Cloudy,0
51,Jaipur,3,33.3,85,1008.0,22.8,81,5.2,4.0,Cloudy,1
52,Jaipur,2,32.3,55,1000.9,10.3,69,2.6,0,Partly Cloudy,1
53,Lucknow,12,13.2,52,992.6,12.8,69,7.8,11.7,Partly Cloudy,1
54,Ahmedabad,12,8.7,98,1005.2,1.2,45,5.5,4.1,Partly Cloudy,1
55,Lucknow,9,33.4,94,1022.0,27.0,62,4.5,1.9,Foggy,1
56,Lucknow,12,13.6,84,1026.8,29.4,68,1.9,3.5,Partly Cloudy,1
